iter	Passed	Remaining
398	607154	153690
399	608765	152191
400	610317	150676
401	611845	149156
402	613465	147658
403	615063	146153
404	616488	144608
405	617953	143073
406	619513	141559
407	621027	140035
408	622444	138490
409	624011	136978
410	625531	135455
411	627081	133939
412	628606	132418
413	630239	130919
414	631901	129425
415	633453	127908
416	634956	126382
417	636500	124863
418	638023	123341
419	639517	121812
420	641202	120320
421	642765	118804
422	644167	117259
423	645858	115767
424	647454	114256
425	649112	112756
426	650768	111255
427	652258	109725
428	653773	108200
429	655425	106697
430	657031	105186
431	658530	103657
432	660149	102147
433	661722	100630
434	663312	99115
435	664832	97590
436	666405	96072
437	667958	94551
438	669680	93053
439	671282	91538
440	673067	90047
441	674455	88503
442	676026	86983
443	677586	85461
444	679034	83925
445	680456	82387
446	682057	80870
447	683790	79368
448	685308	77841
449	686819	76313
450	688403	74793
451	689825	73255
452	691387	71733
453	693013	70217
454	694611	68697
455	696273	67184
456	697866	65663
457	699351	64132
458	700896	62607
459	702436	61081
460	704091	59565
461	705518	58029
462	707002	56499
463	708487	54968
464	710044	53444
465	711588	51918
466	713215	50398
467	714824	48876
468	716464	47356
469	718059	45833
470	719738	44315
471	721284	42788
472	722993	41270
473	724663	39749
474	726255	38223
475	727822	36696
476	729349	35167
477	730851	33637
478	732391	32109
479	733908	30579
480	735529	29054
481	736901	27519
482	738318	25986
483	739718	24453
484	741325	22927
485	742961	21402
486	744576	19875
487	746169	18348
488	747813	16821
489	749486	15295
490	750999	13765
491	752383	12233
492	753994	10705
493	755507	9176
494	757107	7647
495	758621	6117
496	760149	4588
497	761723	3059
498	763244	1529
499	764695	0
