iter	BrierScore	Logloss
0	0.1123537257	0.4043044491
1	0.06157653706	0.2656778084
2	0.0455229585	0.2023528519
3	0.04031888385	0.174097683
4	0.03819484316	0.1600053601
5	0.03717698221	0.1505874344
6	0.03672591196	0.1468759641
7	0.03640502254	0.1441573581
8	0.03613205566	0.1417535076
9	0.03601928359	0.1409066336
10	0.03583158294	0.1396334102
11	0.03570838688	0.13885797
12	0.03562338378	0.1380824997
13	0.03556280488	0.1377824611
14	0.03550876161	0.1373684432
15	0.03538626539	0.1368311936
16	0.03533746611	0.1365735599
17	0.03526813824	0.1361927299
18	0.03523524123	0.1360305924
19	0.03520198439	0.1358743116
20	0.0351582478	0.1357143055
21	0.03513411141	0.1355995166
22	0.03509616383	0.1354302726
23	0.03506679102	0.1351814712
24	0.03503468252	0.1350771049
25	0.03501900512	0.1350247317
26	0.03488244124	0.1345652805
27	0.03486136307	0.1344528307
28	0.03482100072	0.1343208634
29	0.03478846015	0.1341982877
30	0.03477665659	0.1341262805
31	0.03476083039	0.1340587997
32	0.03470342129	0.133900141
33	0.03462938698	0.133645598
34	0.03460527201	0.1335154159
35	0.03458263974	0.1334339159
36	0.03456736897	0.1333767191
37	0.03455210837	0.1333316378
38	0.03453871835	0.1332829519
39	0.03451960739	0.1332102177
40	0.03450033801	0.1331357855
41	0.03447642149	0.1330195225
42	0.03446295497	0.1329767033
43	0.03444502228	0.1329147091
44	0.03443130447	0.1328672805
45	0.03442096203	0.1327997777
46	0.03440842421	0.1327547266
47	0.03439058693	0.1326789275
48	0.03434211875	0.1325399697
49	0.03432789322	0.132470697
50	0.03431272809	0.1324015862
51	0.03428583603	0.1322495092
52	0.03420962269	0.1320099951
53	0.03415580428	0.1318459654
54	0.03414616417	0.1318207133
55	0.03413078111	0.1317699326
56	0.03407738637	0.1315946675
57	0.03406664678	0.1315552243
58	0.03405255255	0.1315021398
59	0.03399633246	0.1313355425
60	0.03398573238	0.1312933094
61	0.03397518895	0.1312558489
62	0.03396454297	0.1312266282
63	0.03395099762	0.131182768
64	0.03393737314	0.131139489
65	0.03389350371	0.1310051842
66	0.03388554608	0.1309769972
67	0.0338696943	0.1309147847
68	0.03385999929	0.1308633376
69	0.03385160998	0.1308314858
70	0.0338308779	0.1307443631
71	0.03382056824	0.1306942452
